puzzle_id,accuracy,pred_perm,gt_perm,mapping_new2old,mapping_old2new
test_puzzle_000,0.0,"[0, 1, 2, 7, 8, 3, 4, 5, 6]","[6, 4, 0, 8, 3, 7, 2, 1, 5]","{0: 2, 1: 7, 2: 6, 3: 4, 4: 1, 5: 8, 6: 0, 7: 5, 8: 3}","{0: 6, 1: 4, 2: 0, 3: 8, 4: 3, 5: 7, 6: 2, 7: 1, 8: 5}"
test_puzzle_001,0.0,"[0, 1, 2, 3, 8, 4, 6, 7, 5]","[4, 0, 5, 8, 6, 2, 7, 3, 1]","{0: 1, 1: 8, 2: 5, 3: 7, 4: 0, 5: 2, 6: 4, 7: 6, 8: 3}","{0: 4, 1: 0, 2: 5, 3: 8, 4: 6, 5: 2, 6: 7, 7: 3, 8: 1}"
test_puzzle_002,0.1111111111111111,"[0, 1, 2, 8, 4, 5, 7, 2, 3]","[0, 4, 3, 7, 1, 2, 5, 6, 8]","{0: 0, 1: 4, 2: 5, 3: 2, 4: 1, 5: 6, 6: 7, 7: 3, 8: 8}","{0: 0, 1: 4, 2: 3, 3: 7, 4: 1, 5: 2, 6: 5, 7: 6, 8: 8}"
test_puzzle_003,0.0,"[0, 1, 2, 3, 8, 4, 2, 7, 5]","[6, 4, 1, 8, 3, 0, 5, 2, 7]","{0: 5, 1: 2, 2: 7, 3: 4, 4: 1, 5: 6, 6: 0, 7: 8, 8: 3}","{0: 6, 1: 4, 2: 1, 3: 8, 4: 3, 5: 0, 6: 5, 7: 2, 8: 7}"
test_puzzle_004,0.0,"[0, 1, 2, 8, 7, 2, 3, 4, 5]","[5, 3, 7, 6, 1, 0, 8, 2, 4]","{0: 5, 1: 4, 2: 7, 3: 1, 4: 8, 5: 0, 6: 3, 7: 2, 8: 6}","{0: 5, 1: 3, 2: 7, 3: 6, 4: 1, 5: 0, 6: 8, 7: 2, 8: 4}"
test_puzzle_005,0.0,"[0, 1, 2, 3, 4, 5, 2, 7, 8]","[1, 8, 6, 0, 5, 7, 4, 2, 3]","{0: 3, 1: 0, 2: 7, 3: 8, 4: 6, 5: 4, 6: 2, 7: 5, 8: 1}","{0: 1, 1: 8, 2: 6, 3: 0, 4: 5, 5: 7, 6: 4, 7: 2, 8: 3}"
test_puzzle_006,0.0,"[0, 1, 2, 7, 8, 4, 3, 6, 5]","[2, 5, 7, 6, 3, 1, 8, 4, 0]","{0: 8, 1: 5, 2: 0, 3: 4, 4: 7, 5: 1, 6: 3, 7: 2, 8: 6}","{0: 2, 1: 5, 2: 7, 3: 6, 4: 3, 5: 1, 6: 8, 7: 4, 8: 0}"
test_puzzle_007,0.1111111111111111,"[0, 1, 2, 4, 8, 3, 7, 6, 5]","[4, 5, 2, 0, 7, 6, 1, 8, 3]","{0: 3, 1: 6, 2: 2, 3: 8, 4: 0, 5: 1, 6: 5, 7: 4, 8: 7}","{0: 4, 1: 5, 2: 2, 3: 0, 4: 7, 5: 6, 6: 1, 7: 8, 8: 3}"
test_puzzle_008,0.2222222222222222,"[1, 0, 8, 2, 7, 6, 6, 6, 6]","[4, 0, 3, 5, 2, 6, 8, 1, 7]","{0: 1, 1: 7, 2: 4, 3: 2, 4: 0, 5: 3, 6: 5, 7: 8, 8: 6}","{0: 4, 1: 0, 2: 3, 3: 5, 4: 2, 5: 6, 6: 8, 7: 1, 8: 7}"
test_puzzle_009,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[8, 1, 6, 2, 3, 4, 5, 0, 7]","{0: 7, 1: 1, 2: 3, 3: 4, 4: 5, 5: 6, 6: 2, 7: 8, 8: 0}","{0: 8, 1: 1, 2: 6, 3: 2, 4: 3, 5: 4, 6: 5, 7: 0, 8: 7}"
test_puzzle_010,0.1111111111111111,"[0, 1, 8, 4, 7, 5, 2, 3, 6]","[4, 3, 2, 6, 7, 1, 8, 0, 5]","{0: 7, 1: 5, 2: 2, 3: 1, 4: 0, 5: 8, 6: 3, 7: 4, 8: 6}","{0: 4, 1: 3, 2: 2, 3: 6, 4: 7, 5: 1, 6: 8, 7: 0, 8: 5}"
test_puzzle_011,0.0,"[0, 1, 2, 7, 8, 3, 4, 5, 6]","[1, 4, 0, 3, 6, 8, 2, 7, 5]","{0: 2, 1: 0, 2: 6, 3: 3, 4: 1, 5: 8, 6: 4, 7: 7, 8: 5}","{0: 1, 1: 4, 2: 0, 3: 3, 4: 6, 5: 8, 6: 2, 7: 7, 8: 5}"
test_puzzle_012,0.1111111111111111,"[0, 3, 6, 1, 4, 7, 2, 6, 2]","[5, 0, 4, 8, 7, 6, 1, 3, 2]","{0: 1, 1: 6, 2: 8, 3: 7, 4: 2, 5: 0, 6: 5, 7: 4, 8: 3}","{0: 5, 1: 0, 2: 4, 3: 8, 4: 7, 5: 6, 6: 1, 7: 3, 8: 2}"
test_puzzle_013,0.2222222222222222,"[0, 3, 6, 1, 4, 6, 2, 7, 5]","[2, 7, 8, 1, 4, 3, 6, 5, 0]","{0: 8, 1: 3, 2: 0, 3: 5, 4: 4, 5: 7, 6: 6, 7: 1, 8: 2}","{0: 2, 1: 7, 2: 8, 3: 1, 4: 4, 5: 3, 6: 6, 7: 5, 8: 0}"
test_puzzle_014,0.1111111111111111,"[0, 3, 6, 1, 4, 7, 2, 6, 5]","[8, 2, 6, 7, 0, 5, 4, 3, 1]","{0: 4, 1: 8, 2: 1, 3: 7, 4: 6, 5: 5, 6: 2, 7: 3, 8: 0}","{0: 8, 1: 2, 2: 6, 3: 7, 4: 0, 5: 5, 6: 4, 7: 3, 8: 1}"
test_puzzle_015,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2, 6, 0, 8, 7, 5, 3, 4, 1]","{0: 2, 1: 8, 2: 0, 3: 6, 4: 7, 5: 5, 6: 1, 7: 4, 8: 3}","{0: 2, 1: 6, 2: 0, 3: 8, 4: 7, 5: 5, 6: 3, 7: 4, 8: 1}"
test_puzzle_016,0.0,"[0, 3, 6, 1, 4, 7, 2, 6, 2]","[8, 5, 3, 0, 2, 1, 6, 4, 7]","{0: 3, 1: 5, 2: 4, 3: 2, 4: 7, 5: 1, 6: 6, 7: 8, 8: 0}","{0: 8, 1: 5, 2: 3, 3: 0, 4: 2, 5: 1, 6: 6, 7: 4, 8: 7}"
test_puzzle_017,0.1111111111111111,"[0, 1, 2, 7, 8, 3, 4, 5, 6]","[0, 3, 5, 8, 4, 1, 7, 6, 2]","{0: 0, 1: 5, 2: 8, 3: 1, 4: 4, 5: 2, 6: 7, 7: 6, 8: 3}","{0: 0, 1: 3, 2: 5, 3: 8, 4: 4, 5: 1, 6: 7, 7: 6, 8: 2}"
test_puzzle_018,0.2222222222222222,"[1, 0, 2, 7, 8, 2, 3, 6, 6]","[1, 5, 0, 4, 8, 7, 6, 2, 3]","{0: 2, 1: 0, 2: 7, 3: 8, 4: 3, 5: 1, 6: 6, 7: 5, 8: 4}","{0: 1, 1: 5, 2: 0, 3: 4, 4: 8, 5: 7, 6: 6, 7: 2, 8: 3}"
test_puzzle_019,0.2222222222222222,"[5, 0, 7, 8, 4, 1, 3, 2, 6]","[5, 2, 4, 0, 8, 1, 6, 7, 3]","{0: 3, 1: 5, 2: 1, 3: 8, 4: 2, 5: 0, 6: 6, 7: 7, 8: 4}","{0: 5, 1: 2, 2: 4, 3: 0, 4: 8, 5: 1, 6: 6, 7: 7, 8: 3}"
test_puzzle_020,0.1111111111111111,"[0, 1, 2, 3, 8, 4, 2, 7, 5]","[3, 8, 7, 0, 4, 1, 2, 5, 6]","{0: 3, 1: 5, 2: 6, 3: 0, 4: 4, 5: 7, 6: 8, 7: 2, 8: 1}","{0: 3, 1: 8, 2: 7, 3: 0, 4: 4, 5: 1, 6: 2, 7: 5, 8: 6}"
test_puzzle_021,0.1111111111111111,"[0, 1, 2, 7, 8, 2, 3, 4, 5]","[5, 8, 3, 1, 2, 7, 6, 4, 0]","{0: 8, 1: 3, 2: 4, 3: 2, 4: 7, 5: 0, 6: 6, 7: 5, 8: 1}","{0: 5, 1: 8, 2: 3, 3: 1, 4: 2, 5: 7, 6: 6, 7: 4, 8: 0}"
test_puzzle_022,0.0,"[0, 1, 2, 7, 8, 3, 4, 5, 2]","[5, 2, 4, 3, 6, 8, 1, 7, 0]","{0: 8, 1: 6, 2: 1, 3: 3, 4: 2, 5: 0, 6: 4, 7: 7, 8: 5}","{0: 5, 1: 2, 2: 4, 3: 3, 4: 6, 5: 8, 6: 1, 7: 7, 8: 0}"
test_puzzle_023,0.0,"[0, 3, 6, 1, 4, 2, 2, 7, 5]","[6, 8, 4, 2, 7, 3, 5, 1, 0]","{0: 8, 1: 7, 2: 3, 3: 5, 4: 2, 5: 6, 6: 0, 7: 4, 8: 1}","{0: 6, 1: 8, 2: 4, 3: 2, 4: 7, 5: 3, 6: 5, 7: 1, 8: 0}"
test_puzzle_024,0.1111111111111111,"[0, 1, 2, 4, 8, 2, 6, 7, 5]","[3, 7, 6, 2, 8, 0, 4, 5, 1]","{0: 5, 1: 8, 2: 3, 3: 0, 4: 6, 5: 7, 6: 2, 7: 1, 8: 4}","{0: 3, 1: 7, 2: 6, 3: 2, 4: 8, 5: 0, 6: 4, 7: 5, 8: 1}"
test_puzzle_025,0.1111111111111111,"[0, 1, 2, 4, 8, 3, 2, 7, 5]","[3, 8, 2, 7, 5, 4, 1, 6, 0]","{0: 8, 1: 6, 2: 2, 3: 0, 4: 5, 5: 4, 6: 7, 7: 3, 8: 1}","{0: 3, 1: 8, 2: 2, 3: 7, 4: 5, 5: 4, 6: 1, 7: 6, 8: 0}"
test_puzzle_026,0.0,"[0, 1, 2, 8, 7, 3, 4, 5, 6]","[5, 8, 7, 0, 1, 6, 2, 3, 4]","{0: 3, 1: 4, 2: 6, 3: 7, 4: 8, 5: 0, 6: 5, 7: 2, 8: 1}","{0: 5, 1: 8, 2: 7, 3: 0, 4: 1, 5: 6, 6: 2, 7: 3, 8: 4}"
test_puzzle_027,0.2222222222222222,"[0, 1, 2, 6, 8, 3, 7, 6, 5]","[4, 6, 0, 2, 8, 5, 7, 3, 1]","{0: 2, 1: 8, 2: 3, 3: 7, 4: 0, 5: 5, 6: 1, 7: 6, 8: 4}","{0: 4, 1: 6, 2: 0, 3: 2, 4: 8, 5: 5, 6: 7, 7: 3, 8: 1}"
test_puzzle_028,0.0,"[0, 3, 6, 1, 4, 7, 2, 6, 2]","[4, 8, 7, 5, 1, 2, 6, 0, 3]","{0: 7, 1: 4, 2: 5, 3: 8, 4: 0, 5: 3, 6: 6, 7: 2, 8: 1}","{0: 4, 1: 8, 2: 7, 3: 5, 4: 1, 5: 2, 6: 6, 7: 0, 8: 3}"
test_puzzle_029,0.1111111111111111,"[0, 1, 2, 3, 8, 4, 2, 7, 5]","[8, 6, 2, 4, 5, 1, 7, 3, 0]","{0: 8, 1: 5, 2: 2, 3: 7, 4: 3, 5: 4, 6: 1, 7: 6, 8: 0}","{0: 8, 1: 6, 2: 2, 3: 4, 4: 5, 5: 1, 6: 7, 7: 3, 8: 0}"
test_puzzle_030,0.0,"[0, 3, 6, 1, 4, 7, 2, 6, 2]","[7, 2, 1, 0, 5, 6, 4, 3, 8]","{0: 3, 1: 2, 2: 1, 3: 7, 4: 6, 5: 4, 6: 5, 7: 0, 8: 8}","{0: 7, 1: 2, 2: 1, 3: 0, 4: 5, 5: 6, 6: 4, 7: 3, 8: 8}"
test_puzzle_031,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[8, 3, 7, 6, 4, 1, 2, 0, 5]","{0: 7, 1: 5, 2: 6, 3: 1, 4: 4, 5: 8, 6: 3, 7: 2, 8: 0}","{0: 8, 1: 3, 2: 7, 3: 6, 4: 4, 5: 1, 6: 2, 7: 0, 8: 5}"
test_puzzle_032,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7, 6, 4, 3, 0, 2, 5, 8, 1]","{0: 4, 1: 8, 2: 5, 3: 3, 4: 2, 5: 6, 6: 1, 7: 0, 8: 7}","{0: 7, 1: 6, 2: 4, 3: 3, 4: 0, 5: 2, 6: 5, 7: 8, 8: 1}"
test_puzzle_033,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 5, 4, 6, 7, 8, 1, 2, 3]","{0: 0, 1: 6, 2: 7, 3: 8, 4: 2, 5: 1, 6: 3, 7: 4, 8: 5}","{0: 0, 1: 5, 2: 4, 3: 6, 4: 7, 5: 8, 6: 1, 7: 2, 8: 3}"
test_puzzle_034,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3, 8, 6, 5, 2, 1, 7, 4, 0]","{0: 8, 1: 5, 2: 4, 3: 0, 4: 7, 5: 3, 6: 2, 7: 6, 8: 1}","{0: 3, 1: 8, 2: 6, 3: 5, 4: 2, 5: 1, 6: 7, 7: 4, 8: 0}"
test_puzzle_035,0.1111111111111111,"[1, 0, 2, 7, 8, 5, 2, 3, 6]","[5, 8, 7, 0, 4, 1, 6, 3, 2]","{0: 3, 1: 5, 2: 8, 3: 7, 4: 4, 5: 0, 6: 6, 7: 2, 8: 1}","{0: 5, 1: 8, 2: 7, 3: 0, 4: 4, 5: 1, 6: 6, 7: 3, 8: 2}"
test_puzzle_036,0.0,"[0, 1, 2, 4, 8, 2, 6, 7, 5]","[5, 6, 4, 2, 7, 0, 8, 3, 1]","{0: 5, 1: 8, 2: 3, 3: 7, 4: 2, 5: 0, 6: 1, 7: 4, 8: 6}","{0: 5, 1: 6, 2: 4, 3: 2, 4: 7, 5: 0, 6: 8, 7: 3, 8: 1}"
test_puzzle_037,0.1111111111111111,"[0, 3, 6, 1, 4, 7, 2, 6, 2]","[2, 3, 5, 8, 1, 6, 4, 7, 0]","{0: 8, 1: 4, 2: 0, 3: 1, 4: 6, 5: 2, 6: 5, 7: 7, 8: 3}","{0: 2, 1: 3, 2: 5, 3: 8, 4: 1, 5: 6, 6: 4, 7: 7, 8: 0}"
test_puzzle_038,0.2222222222222222,"[5, 0, 8, 2, 7, 1, 6, 3, 6]","[5, 0, 7, 4, 8, 3, 1, 6, 2]","{0: 1, 1: 6, 2: 8, 3: 5, 4: 3, 5: 0, 6: 7, 7: 2, 8: 4}","{0: 5, 1: 0, 2: 7, 3: 4, 4: 8, 5: 3, 6: 1, 7: 6, 8: 2}"
test_puzzle_039,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 2, 7, 8]","[2, 7, 6, 0, 3, 5, 1, 8, 4]","{0: 3, 1: 6, 2: 0, 3: 4, 4: 8, 5: 5, 6: 2, 7: 1, 8: 7}","{0: 2, 1: 7, 2: 6, 3: 0, 4: 3, 5: 5, 6: 1, 7: 8, 8: 4}"
test_puzzle_040,0.0,"[0, 3, 6, 1, 8, 4, 7, 2, 5]","[7, 1, 3, 2, 4, 5, 8, 0, 6]","{0: 7, 1: 1, 2: 3, 3: 2, 4: 4, 5: 5, 6: 8, 7: 0, 8: 6}","{0: 7, 1: 1, 2: 3, 3: 2, 4: 4, 5: 5, 6: 8, 7: 0, 8: 6}"
test_puzzle_041,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[6, 0, 4, 7, 1, 2, 5, 3, 8]","{0: 1, 1: 4, 2: 5, 3: 7, 4: 2, 5: 6, 6: 0, 7: 3, 8: 8}","{0: 6, 1: 0, 2: 4, 3: 7, 4: 1, 5: 2, 6: 5, 7: 3, 8: 8}"
test_puzzle_042,0.1111111111111111,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3, 6, 0, 1, 5, 4, 7, 2, 8]","{0: 2, 1: 3, 2: 7, 3: 0, 4: 5, 5: 4, 6: 1, 7: 6, 8: 8}","{0: 3, 1: 6, 2: 0, 3: 1, 4: 5, 5: 4, 6: 7, 7: 2, 8: 8}"
test_puzzle_043,0.1111111111111111,"[0, 1, 2, 7, 8, 2, 3, 4, 5]","[4, 1, 7, 8, 2, 5, 0, 6, 3]","{0: 6, 1: 1, 2: 4, 3: 8, 4: 0, 5: 5, 6: 7, 7: 2, 8: 3}","{0: 4, 1: 1, 2: 7, 3: 8, 4: 2, 5: 5, 6: 0, 7: 6, 8: 3}"
test_puzzle_044,0.1111111111111111,"[0, 3, 6, 1, 4, 7, 2, 6, 2]","[2, 8, 7, 3, 1, 5, 0, 6, 4]","{0: 6, 1: 4, 2: 0, 3: 3, 4: 8, 5: 5, 6: 7, 7: 2, 8: 1}","{0: 2, 1: 8, 2: 7, 3: 3, 4: 1, 5: 5, 6: 0, 7: 6, 8: 4}"
